Installation,Målernummer,Energiartskode,Aflæst,GældendeFra,Note,Energi_Værdi,Energi_Enhed,Energi_Type,Volumen_Værdi,Volumen_Enhed,Volumen_Type,Timer_Værdi,Timer_Enhed,Timer_Type,Fremløb_Værdi,Fremløb_Enhed,Fremløb_Type,Returløb_Værdi,Returløb_Enhed,Returløb_Type
,65674941,,2022-03-09T23:59:39,,,34.515,mwh,1,1161.443,m3,1,21808,h,1,69,c,3,44.8,c,3
,65674941,,2022-03-10T01:00:33,,,34.524,mwh,1,1161.708,m3,1,21809,h,1,69.1,c,3,39.6,c,3
,65674941,,2022-03-10T02:00:58,,,34.531,mwh,1,1161.964,m3,1,21810,h,1,69,c,3,40.6,c,3
,65674941,,2022-03-10T03:20:24,,,34.543,mwh,1,1162.33,m3,1,21811,h,1,70.7,c,3,43,c,3
,65674941,,2022-03-10T04:01:00,,,34.548,mwh,1,1162.472,m3,1,21812,h,1,68.7,c,3,39.8,c,3
,65674941,,2022-03-10T05:20:48,,,34.557,mwh,1,1162.759,m3,1,21813,h,1,69.2,c,3,42.9,c,3
,65674941,,2022-03-10T06:00:34,,,34.565,mwh,1,1163.007,m3,1,21814,h,1,70.3,c,3,40.3,c,3
,65674941,,2022-03-10T07:00:41,,,34.575,mwh,1,1163.287,m3,1,21815,h,1,71.2,c,3,36.6,c,3
,65674941,,2022-03-10T08:26:09,,,34.617,mwh,1,1164.399,m3,1,21816,h,1,70.7,c,3,44.9,c,3
,65674941,,2022-03-10T09:22:03,,,34.638,mwh,1,1165.027,m3,1,21817,h,1,70.7,c,3,42.6,c,3
,65674941,,2022-03-10T10:01:53,,,34.653,mwh,1,1165.43,m3,1,21818,h,1,71,c,3,36.6,c,3
,65674941,,2022-03-10T11:01:16,,,34.67,mwh,1,1165.949,m3,1,21819,h,1,68.6,c,3,44.3,c,3
,65674941,,2022-03-10T11:51:40,,,34.684,mwh,1,1166.41,m3,1,21819,h,1,66,c,3,40.2,c,3
